,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ffr_momentum,ffr_volatility,gdp_level,gdp_growth,gdp_momentum,gdp_ffr_ratio,macro_signal
2024-10-15,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-16,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-17,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-18,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-19,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-20,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-21,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-22,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-23,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-24,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-25,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-26,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-27,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-28,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-29,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-30,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-31,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-01,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-02,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-03,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-04,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-05,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
